,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Baby Step Embracer,"(('steps', 'NNS'), 11)","(('step', 'NN'), 8)","(('small', 'JJ'), 7)","(('way', 'NN'), 7)","(('recovery', 'NN'), 7)","(('time', 'NN'), 6)","(('one', 'CD'), 6)","(('what', 'WP'), 6)","(('life', 'NN'), 5)","(('day', 'NN'), 5)","(('things', 'NNS'), 4)","(('baby', 'JJ'), 4)","(('towards', 'NNS'), 4)","(('being', 'VBG'), 3)","(('today', 'NN'), 3)","(('doing', 'VBG'), 3)","(('tomorrow', 'NN'), 3)","(('when', 'WRB'), 3)","(('days', 'NNS'), 3)","(('journey', 'NN'), 3)"
Bad Habit Butcher,"(('bad', 'JJ'), 5)","(('positive', 'JJ'), 5)","(('habits', 'NNS'), 5)","(('behavior', 'NN'), 4)","(('that', 'WDT'), 4)","(('doing', 'VBG'), 3)","(('life', 'NN'), 3)","(('what', 'WP'), 3)","(('behaviour', 'NN'), 3)","(('work', 'NN'), 3)","(('new', 'JJ'), 3)","(('addiction', 'NN'), 3)","(('behaviors', 'NNS'), 3)","(('been', 'VBN'), 3)","(('anything', 'NN'), 2)","(('person', 'NN'), 2)","(('things', 'NNS'), 2)","(('watching', 'VBG'), 2)","(('means', 'NN'), 2)","(('basics', 'NNS'), 2)"
Bad Influence Bulldozer,"(('people', 'NNS'), 13)","(('friends', 'NNS'), 10)","(('who', 'WP'), 6)","(('life', 'NN'), 5)","(('when', 'WRB'), 5)","(('triggers', 'NNS'), 5)","(('that', 'WDT'), 4)","(('how', 'WRB'), 3)","(('spiral', 'NN'), 3)","(('things', 'NNS'), 3)","(('family', 'NN'), 3)","(('recovery', 'NN'), 3)","(('new', 'JJ'), 3)","(('old', 'JJ'), 3)","(('relapse', 'NN'), 3)","(('steps', 'NNS'), 3)","(('places', 'NNS'), 2)","(('up', 'RP'), 2)","(('such', 'JJ'), 2)","(('friend', 'NN'), 2)"
Bad Influence Butcher,"(('people', 'NNS'), 6)","(('bridges', 'NNS'), 5)","(('friends', 'NNS'), 5)","(('who', 'WP'), 4)","(('recovery', 'NN'), 4)","(('negative', 'JJ'), 3)","(('back', 'RP'), 3)","(('impulses', 'NNS'), 3)","(('don＊t', 'NN'), 2)","(('life', 'NN'), 2)","(('dealers', 'NNS'), 2)","(('only', 'JJ'), 2)","(('option', 'NN'), 2)","(('what', 'WP'), 2)","(('when', 'WRB'), 2)","(('things', 'NNS'), 2)","(('most', 'RBS'), 2)","(('more', 'RBR'), 2)","(('one', 'NN'), 2)","(('that', 'WDT'), 2)"
Barefoot Believer,"(('poor', 'JJ'), 3)","(('better', 'JJR'), 2)","(('fate', 'NN'), 2)","(('being', 'VBG'), 2)","(('life', 'NN'), 2)","(('days', 'NNS'), 2)","(('craving', 'NN'), 2)","(('drinking', 'VBG'), 1)","(('matter', 'NN'), 1)","(('religious', 'JJ'), 1)","(('care', 'NN'), 1)","(('much', 'JJ'), 1)","(('using', 'VBG'), 1)","(('excitement', 'NN'), 1)","(('Resigned', 'VBN'), 1)","(('fact', 'NN'), 1)","(('why', 'WRB'), 1)","(('what', 'WP'), 1)","(('universe', 'NN'), 1)","(('up', 'RP'), 1)"
Behavior Savior,"(('behavior', 'NN'), 5)","(('habits', 'NNS'), 5)","(('bad', 'JJ'), 5)","(('new', 'JJ'), 4)","(('old', 'JJ'), 4)","(('behaviors', 'NNS'), 4)","(('ways', 'NNS'), 4)","(('positive', 'JJ'), 4)","(('clean', 'JJ'), 3)","(('life', 'NN'), 3)","(('when', 'WRB'), 3)","(('backwards', 'NNS'), 3)","(('more', 'JJR'), 3)","(('using', 'VBG'), 2)","(('seeking', 'VBG'), 2)","(('drug', 'NN'), 2)","(('becoming', 'VBG'), 2)","(('capable', 'JJ'), 2)","(('great', 'JJ'), 2)","(('means', 'NN'), 2)"
Belief Superseder,"(('beliefs', 'NNS'), 18)","(('when', 'WRB'), 7)","(('addiction', 'NN'), 7)","(('life', 'NN'), 6)","(('beliefs', 'NN'), 6)","(('good', 'JJ'), 6)","(('belief', 'NN'), 6)","(('When', 'WRB'), 5)","(('old', 'JJ'), 5)","(('new', 'JJ'), 5)","(('negative', 'JJ'), 4)","(('right', 'JJ'), 4)","(('recovery', 'NN'), 4)","(('drugs', 'NNS'), 4)","(('people', 'NNS'), 4)","(('what', 'WP'), 4)","(('world', 'NN'), 3)","(('ideas', 'NNS'), 3)","(('who', 'WP'), 3)","(('junkie', 'NN'), 3)"
Beloved BFF＊r,"(('people', 'NNS'), 3)","(('there', 'EX'), 3)","(('job', 'NN'), 2)","(('when', 'WRB'), 2)","(('drug', 'NN'), 2)","(('beloved', 'JJ'), 2)","(('relationship', 'NN'), 2)","(('power', 'NN'), 2)","(('beloved', 'VBN'), 2)","(('dope', 'NN'), 2)","((""BFF'r"", 'NNP'), 2)","(('higher', 'JJR'), 2)","(('catches', 'NNS'), 1)","(('There', 'EX'), 1)","(('same', 'JJ'), 1)","(('rich', 'JJ'), 1)","(('best', 'JJS'), 1)","(('rewards', 'NNS'), 1)","(('smiles', 'NNS'), 1)","(('social', 'JJ'), 1)"
Bipolar Coaster,"(('coaster', 'NN'), 7)","(('happy', 'JJ'), 4)","(('bipolar', 'JJ'), 4)","(('days', 'NNS'), 3)","(('detox', 'NN'), 2)","(('doing', 'VBG'), 2)","(('night', 'NN'), 2)","(('people', 'NNS'), 2)","(('addiction', 'NN'), 2)","(('pot', 'NN'), 2)","(('morning', 'NN'), 2)","(('most', 'RBS'), 2)","(('control', 'NN'), 2)","(('moment', 'NN'), 2)","(('certain', 'JJ'), 2)","(('one', 'CD'), 2)","(('definition', 'NN'), 2)","(('girlfriend', 'NN'), 2)","(('different', 'JJ'), 2)","(('friends', 'NNS'), 2)"
Bipolar Patroller,"(('manic', 'JJ'), 4)","(('friends', 'NNS'), 3)","(('emotions', 'NNS'), 3)","(('gone', 'VBN'), 3)","(('fault', 'NN'), 2)","(('years', 'NNS'), 2)","(('who', 'WP'), 2)","(('what', 'WP'), 2)","(('moment', 'NN'), 2)","(('When', 'WRB'), 2)","(('days', 'NNS'), 2)","(('relationships', 'NNS'), 2)","(('disorder', 'NN'), 1)","(('schizophrenics', 'NNS'), 1)","(('same', 'JJ'), 1)","(('anything', 'NN'), 1)","(('emptied', 'VBN'), 1)","(('able', 'JJ'), 1)","(('etc', 'FW'), 1)","(('world', 'NN'), 1)"
Bitter Quitter,"(('gratification', 'NN'), 5)","(('turkey', 'NN'), 3)","(('when', 'WRB'), 3)","(('life', 'NN'), 3)","(('same', 'JJ'), 2)","(('drugs', 'NNS'), 2)","(('up', 'RP'), 2)","(('addiction', 'NN'), 2)","(('what', 'WP'), 2)","(('bitter', 'JJ'), 2)","(('dope', 'NN'), 2)","(('sobriety', 'NN'), 2)","(('going', 'VBG'), 2)","(('junk', 'NN'), 2)","(('one', 'CD'), 2)","(('cold', 'JJ'), 2)","(('way', 'NN'), 2)","(('day', 'NN'), 2)","(('skin', 'NN'), 2)","((""'s"", 'POS'), 2)"
Bitter Truth Taster,"(('addiction', 'NN'), 12)","(('life', 'NN'), 11)","(('that', 'WDT'), 9)","(('time', 'NN'), 8)","(('people', 'NNS'), 8)","(('one', 'CD'), 8)","(('truth', 'NN'), 7)","(('drugs', 'NNS'), 7)","(('recovery', 'NN'), 6)","(('day', 'NN'), 6)","(('up', 'RP'), 5)","(('when', 'WRB'), 5)","(('how', 'WRB'), 5)","(('problem', 'NN'), 5)","(('way', 'NN'), 5)","(('addict', 'NN'), 5)","(('damage', 'NN'), 5)","(('pot', 'NN'), 5)","(('Knowing', 'VBG'), 5)","(('better', 'JJR'), 5)"
Bittersweet Greeter,"(('reason', 'NN'), 2)","(('sweetness', 'NN'), 2)","(('darkest', 'JJS'), 1)","(('hint', 'NN'), 1)","(('situations', 'NNS'), 1)","(('grab', 'NN'), 1)","(('wallet', 'NN'), 1)","(('that', 'WDT'), 1)","(('basic', 'JJ'), 1)","(('experiences', 'NNS'), 1)","(('There', 'EX'), 1)","(('bag', 'NN'), 1)","(('little', 'JJ'), 1)","(('most', 'JJS'), 1)","(('out', 'RP'), 1)","(('bitter', 'JJ'), 1)","(('junkie', 'NN'), 1)",,,
Black Hole Blesser,"(('much', 'JJ'), 5)","(('layers', 'NNS'), 5)","(('drugs', 'NNS'), 5)","(('money', 'NN'), 5)","(('life', 'NN'), 4)","(('things', 'NNS'), 4)","(('getting', 'VBG'), 4)","(('dope', 'NN'), 4)","(('that', 'WDT'), 4)","(('been', 'VBN'), 4)","(('out', 'RP'), 4)","(('people', 'NNS'), 4)","(('bucks', 'NNS'), 4)","(('up', 'RP'), 3)","(('light', 'JJ'), 3)","(('what', 'WP'), 3)","(('dependency', 'NN'), 3)","(('hard', 'JJ'), 3)","(('spiral', 'NN'), 3)","(('inner', 'JJ'), 3)"
Blame Changer,"(('life', 'NN'), 4)","(('nobody', 'NN'), 3)","(('entire', 'JJ'), 3)","(('being', 'VBG'), 3)","(('other', 'JJ'), 2)","(('something', 'NN'), 2)","(('junkie', 'NN'), 2)","(('game', 'NN'), 2)","(('blame', 'NN'), 2)","(('responsibility', 'NN'), 2)","(('fallen', 'VBN'), 1)","(('back-and-forth', 'JJ'), 1)","(('scapegoats', 'NNS'), 1)","(('victim', 'NN'), 1)","(('anything', 'NN'), 1)","(('carried', 'VBN'), 1)","(('choice', 'NN'), 1)","(('behaviour', 'NN'), 1)","(('Placing', 'VBG'), 1)","(('methods', 'NNS'), 1)"
Blamenesia,"(('actions', 'NNS'), 4)","(('accountable', 'JJ'), 4)","(('when', 'WRB'), 4)","(('using', 'VBG'), 3)","(('blame', 'NN'), 3)","(('problem', 'NN'), 3)","(('recovery', 'NN'), 3)","(('easier', 'JJR'), 3)","(('life', 'NN'), 3)","(('something', 'NN'), 3)","(('Today', 'NN'), 2)","(('fault', 'NN'), 2)","(('addiction', 'NN'), 2)","(('part', 'NN'), 2)","(('own', 'JJ'), 2)","(('someone', 'NN'), 2)","(('Ditching', 'VBG'), 2)","(('way', 'NN'), 1)","(('inability', 'NN'), 1)","(('past', 'NN'), 1)"
Blemish Cherisher,"(('inventory', 'NN'), 5)","(('What', 'WP'), 3)","(('inner', 'JJ'), 2)","(('part', 'NN'), 2)","(('when', 'WRB'), 2)","(('values', 'NNS'), 2)","(('nothing', 'NN'), 2)","(('morals', 'NNS'), 1)","(('much', 'JJ'), 1)","(('insecurities', 'NNS'), 1)","(('thought', 'NN'), 1)","(('stocked', 'VBN'), 1)","(('respectable', 'JJ'), 1)","(('My', 'NNP'), 1)","(('insecure', 'NN'), 1)","(('priority', 'NN'), 1)","(('being', 'VBG'), 1)","(('checking', 'VBG'), 1)","(('how', 'WRB'), 1)","(('evicted', 'VBN'), 1)"
Blessings Bather,"(('recovery', 'NN'), 3)","(('today', 'NN'), 3)","(('past', 'JJ'), 2)","(('family', 'NN'), 1)","(('What＊s', 'NNP'), 1)","(('soothing', 'VBG'), 1)","(('true', 'JJ'), 1)","(('negative', 'JJ'), 1)","(('mind', 'NN'), 1)","(('serenity', 'NN'), 1)","(('obsessed', 'VBN'), 1)","(('garden', 'NN'), 1)","(('live', 'JJ'), 1)","(('hope', 'NN'), 1)","(('priceless', 'JJ'), 1)","(('frame', 'NN'), 1)","(('moments', 'NNS'), 1)","(('longer', 'RBR'), 1)","(('gifts', 'NNS'), 1)","(('peace', 'NN'), 1)"
