WELGOS,MALE,FEMALE,DIF
Stress Auditor,0.0,2.0,-2.0
Stress Striker,0.0,1.0,-1.0
Stress X’r,0.0,1.0,-1.0
Summer Soulstace,0.0,1.0,-1.0
Symbolic Stepper,3.0,7.0,-4.0
THOUGHTS / aware & examine,4.0,3.0,1.0
THOUGHTS / positivity,3.0,8.0,-5.0
Temperance Tester,4.0,1.0,3.0
Tender Feelings TBH’r,2.0,1.0,1.0
The Aggrava-shunner,1.0,0.0,1.0
The Benefisher,0.0,4.0,-4.0
The Blessifier,3.0,4.0,-1.0
The Blocksmither,0.0,1.0,-1.0
The Control-aholic,1.0,1.0,0.0
The De-craverizer,0.0,1.0,-1.0
The De-stress-calator,0.0,5.0,-5.0
The De-urgifier ,0.0,0.0,0.0
The Debinger,1.0,2.0,-1.0
The Deblamer,1.0,1.0,0.0
The Defuriator,1.0,1.0,0.0
The Depre-shunner,0.0,1.0,-1.0
The Deshamer,2.0,0.0,2.0
The Destigmatizer,2.0,0.0,2.0
The Dynamotivator,3.0,8.0,-5.0
The Empathologist,3.0,4.0,-1.0
The First Amender,1.0,3.0,-2.0
The Flawbreaker,0.0,2.0,-2.0
The Hopenotizer,0.0,2.0,-2.0
The Indigna-Shunner ,0.0,0.0,0.0
The Irrita-shunner,0.0,1.0,-1.0
The Mindfulizer,6.0,1.0,5.0
The Momentumizer ,1.0,3.0,-2.0
The Nicebreaker,0.0,0.0,0.0
The Procrastina-shunner,5.0,3.0,2.0
The Soulutionizer,0.0,2.0,-2.0
The Successcalator,1.0,3.0,-2.0
The Wellectrifier,1.0,1.0,0.0
The Wellifier ,0.0,2.0,-2.0
Thought Auditor,0.0,3.0,-3.0
Thy Will Be Doner,0.0,4.0,-4.0
Torment Terminator,7.0,4.0,3.0
Trigger Auditor,3.0,0.0,3.0
Trigger SOS’r,2.0,2.0,0.0
Trigger Transformer,1.0,2.0,-1.0
Trigger Trespasser,4.0,1.0,3.0
Trigger X’r,2.0,2.0,0.0
Triggers 101'r,1.0,2.0,-1.0
Trouble Elixir,0.0,0.0,0.0
Troubles TBH’r,0.0,2.0,-2.0
Urge Auditor,2.0,2.0,0.0
Urge Namerizer,1.0,1.0,0.0
Urge Purger,3.0,0.0,3.0
Urge X’r,2.0,2.0,0.0
VULNERABILITY / Radical self honesty,6.0,5.0,1.0
VULNERABILITY / admit,2.0,5.0,-3.0
VULNERABILITY / connections,4.0,4.0,0.0
VULNERABILITY / give and receive,0.0,1.0,-1.0
VULNERABILITY / listen to others,3.0,6.0,-3.0
VULNERABILITY / mistakes & learning,4.0,6.0,-2.0
VULNERABILITY / reach out for help,4.0,7.0,-3.0
VULNERABILITY / share challenges,1.0,3.0,-2.0
VULNERABILITY / share emotions,2.0,0.0,2.0
VULNERABILITY / share relapse ,0.0,1.0,-1.0
VULNERABILITY / share with god,0.0,1.0,-1.0
VULNERABILITY / support from others,10.0,6.0,4.0
Values VIP’r,4.0,4.0,0.0
Venom Vaporizer,4.0,0.0,4.0
Vexation Vacationer,0.0,0.0,0.0
Victim Vaccinator,0.0,0.0,0.0
Victim Vanquisher,1.0,0.0,1.0
Victimhood Veto’r,0.0,0.0,0.0
Void Avoider,4.0,5.0,-1.0
WAIT AND SWITCH / Emotions,5.0,4.0,1.0
WAIT AND SWITCH / Progress,7.0,7.0,0.0
WAIT AND SWITCH / Small steps,8.0,5.0,3.0
Wellectricity Generator,0.0,2.0,-2.0
Whole Soul Healer,4.0,3.0,1.0
Worry POW’r,0.0,0.0,0.0
Worry Washer,0.0,1.0,-1.0
Worthiness Whisperer,3.0,1.0,2.0
Worthy Soul’r,2.0,7.0,-5.0
Wrong Righter,0.0,2.0,-2.0
frust,0.0,0.0,0.0
