,1,2,3,4,5,6,7,8,9,10
COMMUNITY / sharing,"('CLOSET CONFESSOR / Share & support', 5)","('NEW PATTERN PAINTER / share & learn', 3)","('Whole Soul Healer', 2)","('VULNERABILITY / reach out for help', 2)","('VULNERABILITY / give and receive', 2)","('VULNERABILITY / admit', 2)","('RELATIONSHIPS / Trust & vulnerability', 2)","('RELATIONSHIPS / Healthy & supportive', 2)","('RELATIONSHIPS / Build connections & community', 2)","('Metta Motivator', 2)"
COMPASSION,"('The Empathologist', 6)","('Metta Motivator', 5)","('VULNERABILITY / support from others', 3)","('NEW PATTERN PAINTER / share & learn', 3)","('VULNERABILITY / share relapse ', 1)","('The Blessifier', 1)","('Stigma Striker', 1)","('Soul Synchronizer', 1)","('RELATIONSHIPS / Meetings & support', 1)","('RELATIONSHIPS / Healthy & supportive', 1)"
CONFESSION,"('RAW SOUL REVEALER / emotions & urges', 2)","('Deep Down Diver', 2)","('CLOSET CONFESSOR / Inventory', 2)","('CLOSET CONFESSOR / Face truths', 2)","('VULNERABILITY / share challenges', 1)","('VULNERABILITY / admit', 1)","('VULNERABILITY / Radical self honesty', 1)","('Urge Namerizer', 1)","('Troubles TBH’r', 1)","('The Flawbreaker', 1)"
CONFESSION / admit,"('CLOSET CONFESSOR / Admit addiction', 6)","('CLOSET CONFESSOR / Face truths', 5)","('Deep Down Diver', 4)","('ADMIT / healing', 4)","('ADMIT / accountability', 4)","('VULNERABILITY / listen to others', 3)","('VULNERABILITY / Radical self honesty', 3)","('VULNERABILITY / admit', 2)","('The Procrastina-shunner', 2)","('Soul Controller', 2)"
CONFESSION / apology & forgiveness,"('Relationship Redeemer', 5)","('VULNERABILITY / admit', 3)","('Inner Forgiverizer', 3)","('ADMIT / honesty', 3)","('ADMIT / accountability', 3)","('Wrong Righter', 2)","('The First Amender', 2)","('Responsibility 101’r', 2)","('Relationship Dedamager', 2)","('My Badiator', 2)"
CONFESSION / damage & hurt,"('Damage Doctor', 9)","('Relationship Dedamager', 6)","('CLOSET CONFESSOR / Face truths', 6)","('Bitter Truth Taster', 6)","('CLOSET CONFESSOR / Inventory', 5)","('Relationship Redeemer', 4)","('RAW SOUL REVEALER / past mistakes', 4)","('CLOSET CONFESSOR / Share & support', 4)","('ADMIT / accountability', 4)","('VULNERABILITY / mistakes & learning', 3)"
CONFESSION / denial,"('VULNERABILITY / admit', 6)","('Denial Denyer', 6)","('Bitter Truth Taster', 6)","('SELF HARM / Self honesty & admit', 4)","('Just One Justifier', 4)","('I-examiner - motivations', 4)","('Delusion Detector', 4)","('CLOSET CONFESSOR / Inventory', 4)","('CLOSET CONFESSOR / Face truths', 4)","('CLOSET CONFESSOR / Admit addiction', 4)"
CONFESSION / powerlessness,"('CLOSET CONFESSOR / Admit addiction', 5)","('God Grounder', 4)","('VULNERABILITY / share with god', 3)","('SELF HARM / Self honesty & admit', 3)","('CLOSET CONFESSOR / Share & support', 3)","('Bitter Truth Taster', 3)","('VULNERABILITY / reach out for help', 2)","('Self awareness / habits & behavior', 2)","('Powerholic Healer', 2)","('I-examiner - reactions & behavior', 2)"
CONFIDENCE,"('Victim Vaccinator', 1)","('Symbolic Stepper', 1)","('Sober Milestoner', 1)","('Self Esteem Engineer', 1)","('Self Esteem Elixir', 1)","('Progress Painter', 1)","('NEW PATTERN PAINTER / motivations', 1)","('NEW LIFE / POSSIBILITIES', 1)","('Lost Benefit Lamenter', 1)","('Lack Hacker', 1)"
CONFIDENCE /  hope & future,"('NEW LIFE / POSSIBILITIES', 6)","('I-Can-ographer', 4)","('Rainbow Hunter', 3)","('Memory Rinser', 3)","('Hope Harvester', 3)","('Gratitude Grower', 3)","('Ever Evolving Flower', 3)","('Blessings Detector', 3)","('Addiction AMF’r', 3)","('The Benefisher', 2)"
CONFIDENCE /  obstacles & challenge,"('Inner Winner', 4)","('Problem Soul-ver', 3)","('Placid Reflux', 3)","('Conflict Connoisseur', 3)","('Confidence Caffeinator', 3)","('Challenge Ninja', 3)","('Victim Vanquisher', 2)","('VULNERABILITY / mistakes & learning', 2)","('VULNERABILITY / Radical self honesty', 2)","('Thy Will Be Doner', 2)"
CONFIDENCE / acceptance & worth,"('Self Esteem Elixir', 3)","('Self Awareness Awakener', 2)","('RAW SOUL REVEALER / trust others', 2)","('Inner Power Allower', 2)","('Inner I-Opener', 2)","('Confidence Caffeinator', 2)","('Blunder Blesser', 2)","('Abstainer Amazer', 2)","('Worthiness Whisperer', 1)","('Values VIP’r', 1)"
